time_double,memory_double
0,0
436,16
437,240032
438,241360
439,242184
440,246816
441,251152
442,255240
443,258392
444,262792
445,266672
446,270456
447,273792
448,277320
449,280872
450,284168
451,287920
452,291096
453,294776
454,298000
455,301192
456,304752
457,308120
458,311528
459,314576
460,317728
461,320792
462,323368
463,325992
464,328472
465,331384
466,334312
467,336960
468,338896
469,341552
470,344048
471,346664
472,349064
473,349072
473,351272
474,351280
474,353616
475,353624
475,355528
476,355536
476,357608
477,357616
477,359592
478,359600
478,359992
478,360000
478,360008
478,360016
478,360016
478,120016
478,120000
