time_quad,memory_quad
0,0
387,16
388,240024
389,241360
390,241992
391,246728
392,251592
393,255656
394,259256
395,263840
396,267304
397,271432
398,275696
399,279816
400,283312
401,286240
402,289208
403,292320
404,295992
405,299800
406,303544
407,306680
408,310176
409,313456
410,316792
411,319848
412,323032
413,325752
414,328160
415,330904
416,333992
417,336656
418,338616
419,341192
420,343800
421,346088
422,346096
422,348624
423,348632
423,350688
424,350696
424,352792
425,352800
425,355152
426,355160
426,357216
427,357224
427,359008
428,359016
428,359992
428,360000
428,360008
428,360016
428,360016
428,120016
429,120000
